gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Some Other Race alone,Not in Labor Force,Washington/WA,23,0,0
Female,1,ENT-Other Media And Communication Equipment Workers,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,"Civilian employed, at work",Mississippi/MS,22,7000,30
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Vietnamese alone,Not in Labor Force,South Dakota/SD,22,5000,20
Female,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Black or African American alone,Not in Labor Force,Pennsylvania/PA,18,0,0
Female,Bachelor's degree,"MGR-Property, Real Estate, And Community Association Managers","MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Oklahoma/OK,22,47000,40
Female,Grade 10,EAT-Waiters And Waitresses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Georgia/GA,24,0,0
Female,"Some college, but less than 1 year",OFF-Data Entry Keyers,MFG-Footwear,White alone,"Civilian employed, at work",New Jersey/NJ,21,20000,40
Female,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,21,10950,25
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Other Asian alone,"Civilian employed, at work",Pennsylvania/PA,23,35000,40
Female,Grade 7,EAT-Food Preparation Workers,"SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Nevada/NV,22,77000,40
Female,Grade 8,PRD-Bakers,RET-Clothing And Clothing Accessories Retailers,White alone,"Civilian employed, at work",Maryland/MD,19,5000,25
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Massachusetts/MA,20,14000,20
Female,12th grade - no diploma,PRS-Other Entertainment Attendants And Related Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,23,0,0
Female,4,EAT-Waiters And Waitresses,MFG-Beverage,White alone,"Civilian employed, at work",Tennessee/TN,21,33000,40
Female,"Some college, but less than 1 year",CLN-Landscaping And Groundskeeping Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),American Indian and Alaska Native alone,Not in Labor Force,Illinois/IL,18,0,0
Female,"1 or more years of college credit, no degree",TRN-Industrial Truck And Tractor Operators,MFG-Pharmaceutical And Medicine,Black or African American alone,"Civilian employed, at work",Rhode Island/RI,19,57000,40
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Michigan/MI,22,1000,15
Female,Grade 9,FIN-Accountants And Auditors,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Texas/TX,19,12500,35
Female,Master's degree,PRD-Miscellaneous Plant And System Operators,FIN-Nondepository Credit Intermediation And Related Activities,White alone,Not in Labor Force,New York/NY,22,0,0
Female,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Veterinary Services,White alone,"Civilian employed, at work",Maryland/MD,22,30000,40
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Physicians,White alone,"Civilian employed, at work",Missouri/MO,21,41900,40
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Ohio/OH,21,12000,30
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Virginia/VA,22,10000,12
Female,Grade 8,ENG-Civil Engineers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Texas/TX,18,0,0
Female,"1 or more years of college credit, no degree","PRS-Hairdressers, Hairstylists, And Cosmetologists","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,Not in Labor Force,Pennsylvania/PA,18,13000,0
Female,"1 or more years of college credit, no degree",MGR-Sales Managers,ADM-National Security And International Affairs,White alone,"Civilian employed, at work",Mississippi/MS,22,65300,40
Female,Regular high school diploma,ENT-Artists And Related Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",New Jersey/NJ,23,1400,22
Female,Master's degree,FIN-Accountants And Auditors,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Florida/FL,18,1500,12
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White; Some Other Race,"Civilian employed, at work",California/CA,24,36000,40
Female,1,EDU-Special Education Teachers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",California/CA,23,4800,17
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,21,0,0
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Office Supplies And Stationery Retailers,White alone,"Civilian employed, at work",New York/NY,19,700,10
Female,Grade 10,EDU-Elementary And Middle School Teachers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Iowa/IA,18,4900,30
Female,7,EDU-Special Education Teachers,MIL-U.S. Marines,Chinese alone,"Armed Forces, At Work",Pennsylvania/PA,24,24000,40
Female,"1 or more years of college credit, no degree",MED-Registered Nurses,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",North Carolina/NC,21,24000,40
Female,Bachelor's degree,"MGR-Farmers, Ranchers, And Other Agricultural Managers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Other Asian alone,Not in Labor Force,Texas/TX,20,0,0
Female,Regular high school diploma,CMS-Mental Health Counselors,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",North Carolina/NC,23,75000,36
Female,Associate's degree,MGR-Financial Managers,RET-Pharmacies And Drug Retailers,White alone,"Civilian employed, at work",California/CA,21,4000,10
Female,4,"CMS-Educational, Guidance, And Career Counselors And Advisors","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,18,42600,38
Female,4,"RPR-Maintenance And Repair Workers, General","ENT-Food Services And Drinking Places, except Alcoholic Beverages",Chinese alone,Not in Labor Force,Oklahoma/OK,22,0,0
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),ADM-Executive Offices And Legislative Bodies,Some Other Race alone,"Civilian employed, at work",Connecticut/CT,23,44000,45
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Other Miscellaneous Retailers,White alone,"Civilian employed, at work",New York/NY,23,11000,37
Female,"1 or more years of college credit, no degree",ENT-Technical Writers,TRN-Support Activities For Transportation,White alone,"Civilian employed, at work",Virginia/VA,20,1200,40
Female,Grade 11,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,Not in Labor Force,South Dakota/SD,19,9000,0
Female,12th grade - no diploma,"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",Kansas/KS,19,4200,13
Female,"1 or more years of college credit, no degree",OFF-Other Office And Administrative Support Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Asian Indian,"Civilian employed, at work",Hawaii/HI,21,5500,25
Female,Bachelor's degree,ENT-Editors,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",Some Other Race alone,"Civilian employed, at work",Minnesota/MN,22,600,6
Female,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,California/CA,20,2300,32
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Virginia/VA,22,4500,20
Female,Regular high school diploma,ENG-Civil Engineers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Colorado/CO,20,28000,35
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Florida/FL,18,8000,35
Female,1,PRD-Other Assemblers And Fabricators,"ENT-Other Amusement, Gambling, And Recreation Industries",Chinese alone,Not in Labor Force,Florida/FL,19,3500,15
Female,7,ENT-Floral Designers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Minnesota/MN,20,12400,13
Female,Regular high school diploma,CON-Construction Laborers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Asian Indian alone,"Civilian employed, at work",Colorado/CO,21,5000,20
Female,Grade 11,CMM-Software Developers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Filipino alone,Not in Labor Force,Pennsylvania/PA,24,2000,15
Female,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Chinese alone,Not in Labor Force,Washington/WA,20,0,0
Female,1,"SCI-Other Life, Physical, And Social Science Technicians",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,Not in Labor Force,Colorado/CO,19,6000,18
Female,Grade 11,SCI-Biological Technicians,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,Not in Labor Force,Minnesota/MN,20,0,0
Female,9,MGR-Other Managers,INF-Newspaper Publishers,Chinese alone,"Civilian employed, at work",California/CA,22,53000,40
Female,N/A (less than 3 years old),RPR-Automotive Service Technicians And Mechanics,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",White alone,"Civilian employed, at work",California/CA,22,35000,40
Female,1,MGR-Construction Managers,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",White alone,Not in Labor Force,New York/NY,23,13000,24
Female,Master's degree,MGR-Chief Executives And Legislators,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,Not in Labor Force,Illinois/IL,18,0,0
Female,1,TRN-Stockers And Order Fillers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,18,0,0
Female,"1 or more years of college credit, no degree","TRN-Motor Vehicle Operators, All Other","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Texas/TX,18,600,16
Female,"Some college, but less than 1 year",MED-Registered Nurses,AGR-Animal Production And Aquaculture,White alone,"Civilian employed, at work",Georgia/GA,20,22000,40
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",White alone,Not in Labor Force,Kentucky/KY,19,1000,30
Female,Doctorate degree,CMM-Other Mathematical Science Occupations,"RET-Sporting Goods, And Hobby, Toy, And Game Retailers",White alone,Not in Labor Force,Virginia/VA,20,0,0
Female,GED or alternative credential,CON-Construction Laborers,TRN-Warehousing And Storage,Other Asian alone,"Civilian employed, at work",California/CA,23,25000,40
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,White; American Indian and Alaska Native,"Civilian employed, at work",Florida/FL,18,16000,26
Female,1,"MGR-Farmers, Ranchers, And Other Agricultural Managers","RET-Gift, Novelty, And Souvenir Retailers",White alone,Not in Labor Force,Mississippi/MS,22,0,0
Female,"1 or more years of college credit, no degree",RPR-Bus And Truck Mechanics And Diesel Engine Specialists,EDU-Elementary And Secondary Schools,Chinese alone,"Civilian employed, at work",South Carolina/SC,20,12000,20
Female,GED or alternative credential,EDU-Teaching Assistants,"EDU-Other Schools And Instruction, And Educational Support Services",White alone,"Civilian employed, at work",New Hampshire/NH,18,25000,30
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"FIN-Monetary Authorities-Central Bank, And Commerical Banking",White alone,"Civilian employed, at work",Virginia/VA,23,115000,60
Female,Bachelor's degree,BUS-Management Analysts,"PRF-Management, Scientific, And Technical Consulting Services",White alone,"Civilian employed, at work",California/CA,22,92000,58
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Veterinary Services,White alone,"Civilian employed, at work",New Jersey/NJ,22,21000,40
Female,Master's degree,RPR-Security And Fire Alarm Systems Installers,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White; Some Other Race,"Civilian employed, at work",New York/NY,24,20000,30
Female,Associate's degree,FFF-Other Agricultural Workers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Florida/FL,19,8600,10
Female,Regular high school diploma,EDU-Other Teachers and Instructors,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Ohio/OH,18,0,0
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,19,0,0
Female,"Some college, but less than 1 year","OFF-Office Clerks, General",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White; Some Other Race,Not in Labor Force,Texas/TX,20,0,0
Female,Bachelor's degree,EDU-Elementary And Middle School Teachers,"FIN-Monetary Authorities-Central Bank, And Commerical Banking",Asian Indian alone,"Civilian employed, at work",South Carolina/SC,19,20000,40
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",Texas/TX,19,12500,18
Female,Regular high school diploma,"CMM-Computer Occupations, All Other",PRF-Business Support Services,White alone,"Civilian employed, at work",Missouri/MO,20,12000,38
Female,Grade 8,RPR-Industrial And Refractory Machinery Mechanics,ADM-Administration Of Human Resource Programs,White alone,"Civilian employed, at work",Louisiana/LA,21,45500,40
Female,N/A (less than 3 years old),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),EDU-Elementary And Secondary Schools,White alone,"Civilian employed, at work",Missouri/MO,22,15000,40
Female,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",Illinois/IL,22,25000,32
Female,Associate's degree,"SAL-Sales Representatives, Wholesale And Manufacturing",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Florida/FL,18,0,0
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Florida/FL,21,20000,40
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Lawn And Garden Equipment And Supplies Retailers,White alone,"Civilian employed, at work",California/CA,22,30000,40
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",White alone,"Civilian employed, at work",Georgia/GA,24,32080,40
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Other Miscellaneous Retailers,White alone,"Civilian employed, at work",Alabama/AL,22,20600,40
Female,Regular high school diploma,RPR-Automotive Service Technicians And Mechanics,MED-Offices Of Physicians,White alone,Not in Labor Force,Michigan/MI,18,7000,40
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,24,0,0
Female,Regular high school diploma,SAL-Sales Engineers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Ohio/OH,20,0,0
Female,Bachelor's degree,EAT-Dining Room And Cafeteria Attendants And Bartender Helpers,SRV-Other Personal Services,White alone,"Civilian employed, at work",Georgia/GA,20,10000,25
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Michigan/MI,22,1820,30
Female,Regular high school diploma,EDU-Postsecondary Teachers,SRV-Other Personal Services,White alone,"Civilian employed, at work",Arkansas/AR,20,14500,40
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MFG-Retail Bakeries,Vietnamese alone,"Civilian employed, at work",Colorado/CO,20,12000,15
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Arkansas/AR,19,0,0
Female,"1 or more years of college credit, no degree","TRN-Laborers And Freight, Stock, And Material Movers, Hand",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Tennessee/TN,23,0,0
Female,"1 or more years of college credit, no degree",TRN-Stockers And Order Fillers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,Not in Labor Force,North Carolina/NC,24,15000,40
Female,1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Tennessee/TN,20,4300,25
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Sporting Goods, And Hobby, Toy, And Game Retailers",White alone,"Civilian employed, at work",Nebraska/NE,22,73300,40
Female,Master's degree,BUS-Market Research Analysts And Marketing Specialists,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,Not in Labor Force,Michigan/MI,24,0,0
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Specialty Food Retailers,White alone,Not in Labor Force,Montana/MT,21,8800,35
Female,Master's degree,MGR-Financial Managers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Black or African American alone,Not in Labor Force,Virginia/VA,20,0,0
Female,Bachelor's degree,CLN-Landscaping And Groundskeeping Workers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Pennsylvania/PA,21,80000,8
Female,"Some college, but less than 1 year",MED-Licensed Practical And Licensed Vocational Nurses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,19,0,0
Female,Associate's degree,CON-Construction Laborers,PRF-Employment Services,White; Black or African American,"Civilian employed, at work",North Carolina/NC,24,67000,44
Female,Regular high school diploma,SAL-Retail Salespersons,RET-Other Miscellaneous Retailers,Asian Indian alone,"Civilian employed, at work",Indiana/IN,21,30000,35
Female,"1 or more years of college credit, no degree",OFF-Receptionists And Information Clerks,EDU-Elementary And Secondary Schools,White alone,"Civilian employed, at work",Florida/FL,24,8000,40
Female,3,CON-Construction Laborers,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",White alone,"Civilian employed, at work",Arkansas/AR,21,2000,40
Female,Grade 11,CLN-Landscaping And Groundskeeping Workers,"ADM-Justice, Public Order, And Safety Activities",Filipino alone,"Civilian employed, at work",Florida/FL,23,20000,50
Female,Master's degree,BUS-Human Resources Workers,SCA-Child Care Services,White alone,"Civilian employed, at work",Oregon/OR,22,8000,15
Female,1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ADM-Justice, Public Order, And Safety Activities",White alone,"Civilian employed, at work",Missouri/MO,24,14500,30
Female,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,22,30000,0
Female,"1 or more years of college credit, no degree",HLS-Medical Assistants,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Minnesota/MN,22,0,0
Female,Grade 9,MED-Registered Nurses,MED-Nursing Care Facilities (Skilled Nursing Facilities),White; Asian groups; and/or Native Hawaiian and Other Pacific Islander groups; and/or Some Other Race,"Civilian employed, at work",Ohio/OH,20,7200,16
Female,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SCA-Child Care Services,Some Other Race alone,Unemployed,Alabama/AL,23,0,0
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",California/CA,22,45000,40
Female,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,"Civilian employed, at work",Florida/FL,23,20000,40
Female,N/A (less than 3 years old),FIN-Accountants And Auditors,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,District of Columbia/DC,23,0,0
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Iowa/IA,19,0,0
