age,gender,state,race,educational_attainment,occupation
18,Female,Pennsylvania/PA,White alone,Bachelor's degree,"OFF-Bookkeeping, Accounting, And Auditing Clerks"
19,Female,Indiana/IN,White alone,Bachelor's degree,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
17,Female,Oklahoma/OK,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Utah/UT,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,North Carolina/NC,White alone,"1 or more years of college credit, no degree",BUS-Training And Development Specialists
16,Female,Maryland/MD,Black or African American alone,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
20,Female,Michigan/MI,White alone,Associate's degree,MED-Registered Nurses
16,Female,Texas/TX,Black or African American alone,Master's degree,"CMS-Educational, Guidance, And Career Counselors And Advisors"
20,Female,Pennsylvania/PA,White alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,California/CA,White alone,Associate's degree,SAL-Retail Salespersons
18,Female,Washington/WA,White alone,Associate's degree,OFF-Customer Service Representatives
17,Female,Michigan/MI,White alone,"1 or more years of college credit, no degree","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
16,Female,Utah/UT,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Missouri/MO,White alone,"1 or more years of college credit, no degree",OFF-First-Line Supervisors Of Office And Administrative Support Workers
20,Female,Texas/TX,White; Other Asian,Master's degree,MED-Registered Nurses
16,Female,Oregon/OR,Vietnamese alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Wisconsin/WI,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Virginia/VA,White alone,"1 or more years of college credit, no degree",EDU-Teaching Assistants
19,Female,South Carolina/SC,White alone,"1 or more years of college credit, no degree","MIL-Military, Rank Not Specified"
20,Female,Oregon/OR,White alone,Associate's degree,TRN-Driver/Sales Workers And Truck Drivers
19,Female,Pennsylvania/PA,White alone,"1 or more years of college credit, no degree","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
17,Female,California/CA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,California/CA,Filipino; and/or Asian groups; and/or Native Hawaiian and Other Pacific Islander groups; and/or Some Other Race,1,HLS-Personal Care Aides
16,Female,New York/NY,White alone,Bachelor's degree,"SAL-Securities, Commodities, And Financial Services Sales Agents"
18,Female,Mississippi/MS,White alone,Master's degree,CMM-Software Developers
17,Female,Arizona/AZ,Korean alone,Bachelor's degree,HLS-Medical Assistants
17,Female,New Mexico/NM,White alone,Regular high school diploma,SAL-First-Line Supervisors Of Retail Sales Workers
16,Female,Louisiana/LA,White; Some Other Race,Bachelor's degree,EAT-Chefs And Head Cooks
18,Female,Arizona/AZ,White; Some Other Race,12th grade - no diploma,"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers"
17,Female,Indiana/IN,White alone,Professional degree beyond a bachelor's degree,MGR-Financial Managers
19,Female,California/CA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Indiana/IN,White alone,Regular high school diploma,OFF-Insurance Claims And Policy Processing Clerks
21,Female,New York/NY,Black or African American; Some Other Race,Associate's degree,MGR-Chief Executives And Legislators
19,Female,Oregon/OR,White alone,Bachelor's degree,SAL-Retail Salespersons
16,Female,Georgia/GA,Black or African American alone,Regular high school diploma,SAL-Retail Salespersons
21,Female,Georgia/GA,White alone,GED or alternative credential,"CON-Plumbers, Pipefitters, And Steamfitters"
17,Female,California/CA,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Colorado/CO,White; Some Other Race,"Some college, but less than 1 year",RPR-Aircraft Mechanics And Service Technicians
16,Female,California/CA,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Nevada/NV,White alone,"Some college, but less than 1 year",TRN-Cleaners Of Vehicles And Equipment
17,Female,California/CA,White alone,GED or alternative credential,BUS-Project Management Specialists
19,Female,Alabama/AL,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,White alone,Regular high school diploma,CLN-Other Grounds Maintenance Workers
16,Female,South Carolina/SC,White alone,Master's degree,CMS-Clergy
16,Female,West Virginia/WV,White alone,Bachelor's degree,MED-Registered Nurses
18,Female,Louisiana/LA,Other Asian alone,Associate's degree,PRD-Food Cooking Machine Operators And Tenders
17,Female,Virginia/VA,White alone,Professional degree beyond a bachelor's degree,"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers"
17,Female,Colorado/CO,Some Other Race alone,"Some college, but less than 1 year",MGR-Other Managers
16,Female,Virginia/VA,White; Black or African American,Regular high school diploma,OFF-Couriers And Messengers
19,Female,Florida/FL,White; Black or African American,Master's degree,ENT-Writers And Authors
18,Female,Missouri/MO,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,California/CA,Filipino alone,Bachelor's degree,MED-Pharmacists
16,Female,Georgia/GA,White alone,Associate's degree,OFF-Executive Secretaries And Executive Administrative Assistants
17,Female,New York/NY,White alone,Master's degree,MGR-Financial Managers
21,Female,District of Columbia/DC,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Arizona/AZ,White alone,"1 or more years of college credit, no degree",EDU-Other Teachers and Instructors
19,Female,California/CA,White alone,Bachelor's degree,MED-Respiratory Therapists
16,Female,California/CA,White; Some Other Race,"Some college, but less than 1 year",SAL-First-Line Supervisors Of Retail Sales Workers
18,Female,Texas/TX,White alone,Master's degree,EDU-Secondary School Teachers
20,Female,Arkansas/AR,White alone,Associate's degree,CLN-Maids And Housekeeping Cleaners
21,Female,California/CA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Virginia/VA,Black or African American alone,"Some college, but less than 1 year",SAL-Retail Salespersons
21,Female,Louisiana/LA,White alone,"1 or more years of college credit, no degree",RPR-Aircraft Mechanics And Service Technicians
20,Female,Florida/FL,White alone,"Some college, but less than 1 year","TRN-Packers And Packagers, Hand"
18,Female,Maryland/MD,White alone,"Some college, but less than 1 year",PRT-Security Guards And Gambling Surveillance Officers
21,Female,Georgia/GA,Black or African American alone,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Texas/TX,White; Some Other Race,Doctorate degree,TRN-Taxi Drivers
16,Female,California/CA,White alone,"1 or more years of college credit, no degree",OFF-Receptionists And Information Clerks
18,Female,California/CA,Chinese alone,Master's degree,ENG-Other Engineers
20,Female,Massachusetts/MA,White alone,Regular high school diploma,"SAL-Sales And Related Workers, All Other"
16,Female,Michigan/MI,White alone,Bachelor's degree,OFF-Customer Service Representatives
18,Female,California/CA,White alone,Regular high school diploma,"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers"
16,Female,Iowa/IA,White alone,Bachelor's degree,CMM-Computer Support Specialists
19,Female,Texas/TX,White; Some Other Race,9,"CON-Plumbers, Pipefitters, And Steamfitters"
16,Female,Colorado/CO,White alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Texas/TX,Some Other Race alone,Professional degree beyond a bachelor's degree,MED-Veterinarians
18,Female,Oregon/OR,White alone,"1 or more years of college credit, no degree",RPR-Aircraft Mechanics And Service Technicians
20,Female,Mississippi/MS,White alone,Bachelor's degree,MGR-Other Managers
19,Female,Ohio/OH,White alone,Bachelor's degree,CMM-Software Developers
17,Female,Texas/TX,White alone,GED or alternative credential,TRN-Driver/Sales Workers And Truck Drivers
19,Female,Florida/FL,Vietnamese alone,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,New York/NY,Asian Indian alone,Associate's degree,MGR-Chief Executives And Legislators
20,Female,Tennessee/TN,White alone,Regular high school diploma,CON-Electricians
18,Female,New York/NY,White; Some Other Race,Regular high school diploma,CON-Carpenters
16,Female,Rhode Island/RI,White alone,Doctorate degree,CMM-Software Developers
17,Female,Ohio/OH,White alone,Bachelor's degree,MGR-Financial Managers
18,Female,Georgia/GA,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,New Jersey/NJ,White alone,Regular high school diploma,CLN-Janitors And Building Cleaners
16,Female,Texas/TX,White alone,Regular high school diploma,EAT-Waiters And Waitresses
16,Female,Missouri/MO,White alone,Bachelor's degree,PRT-Firefighters
16,Female,California/CA,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Ohio/OH,White alone,"Some college, but less than 1 year","TRN-Laborers And Freight, Stock, And Material Movers, Hand"
17,Female,Texas/TX,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Alabama/AL,Black or African American alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,South Carolina/SC,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Pennsylvania/PA,White alone,Associate's degree,EDU-Teaching Assistants
16,Female,Texas/TX,White alone,Regular high school diploma,RPR-Automotive Service Technicians And Mechanics
16,Female,Georgia/GA,Black or African American alone,"1 or more years of college credit, no degree","ENG-Other Engineering Technologists And Technicians, Except Drafters"
19,Female,Pennsylvania/PA,Black or African American alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Connecticut/CT,White alone,Bachelor's degree,OFF-Procurement Clerks
20,Female,Nevada/NV,White; American Indian and Alaska Native; and/or Asian groups; and/or Native Hawaiian and Other Pacific Islander groups,"Some college, but less than 1 year",SAL-Retail Salespersons
17,Female,Washington/WA,White alone,Bachelor's degree,OFF-First-Line Supervisors Of Office And Administrative Support Workers
18,Female,California/CA,Some Other Race alone,1,"TRN-Bus Drivers, School"
17,Female,California/CA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,White alone,Bachelor's degree,MGR-Chief Executives And Legislators
20,Female,New York/NY,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Pennsylvania/PA,White alone,"1 or more years of college credit, no degree",CON-Carpenters
19,Female,New York/NY,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Massachusetts/MA,White alone,Bachelor's degree,MED-Other Healthcare Practitioners and Technical Occupations
17,Female,Washington/WA,White alone,Bachelor's degree,FFF-Other Agricultural Workers
17,Female,Illinois/IL,Some Other Race alone,GED or alternative credential,TRN-Driver/Sales Workers And Truck Drivers
20,Female,Wisconsin/WI,White alone,Associate's degree,CLN-Landscaping And Groundskeeping Workers
18,Female,Wisconsin/WI,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,White; Some Other Race,"1 or more years of college credit, no degree","PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders"
17,Female,Pennsylvania/PA,White alone,Master's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
21,Female,Missouri/MO,Black or African American alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Alabama/AL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,South Carolina/SC,White alone,Regular high school diploma,"MIL-Military, Rank Not Specified"
16,Female,Florida/FL,White alone,"1 or more years of college credit, no degree",SAL-Retail Salespersons
18,Female,Minnesota/MN,White alone,Regular high school diploma,"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers"
16,Female,California/CA,American Indian and Alaska Native alone,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Oregon/OR,Vietnamese alone,Bachelor's degree,MGR-Social And Community Service Managers
17,Female,Massachusetts/MA,Vietnamese alone,Bachelor's degree,MED-Pharmacy Technicians
19,Female,New Jersey/NJ,White alone,Regular high school diploma,EAT-Food Preparation Workers
18,Female,Ohio/OH,White alone,Bachelor's degree,ENG-Mechanical Engineers
17,Female,Colorado/CO,White alone,"Some college, but less than 1 year",SAL-First-Line Supervisors Of Retail Sales Workers
20,Female,West Virginia/WV,White; Some Other Race,Regular high school diploma,EAT-Cooks
16,Female,California/CA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Colorado/CO,White alone,Regular high school diploma,PRD-Other Assemblers And Fabricators
18,Female,Illinois/IL,White alone,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,New Jersey/NJ,White alone,Regular high school diploma,SAL-Retail Salespersons
21,Female,California/CA,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Alabama/AL,Black or African American alone,Associate's degree,MED-Dental Hygienists
17,Female,California/CA,White alone,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Illinois/IL,White alone,Bachelor's degree,MGR-Other Managers
16,Female,Michigan/MI,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,West Virginia/WV,White alone,Bachelor's degree,CMS-Clergy
17,Female,Utah/UT,White alone,Bachelor's degree,"MED-Nurse Practitioners, And Nurse Midwives"
16,Female,California/CA,White alone,"1 or more years of college credit, no degree",ENT-Public Relations Specialists
16,Female,Indiana/IN,Black or African American alone,1,PRD-Other Assemblers And Fabricators
16,Female,Iowa/IA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Pennsylvania/PA,White alone,Grade 11,HLS-Nursing Assistants
19,Female,Washington/WA,White alone,Associate's degree,EAT-Bartenders
17,Female,California/CA,Chinese alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Colorado/CO,Black or African American alone,"1 or more years of college credit, no degree",TRN-Pumping Station Operators
19,Female,Louisiana/LA,White alone,Regular high school diploma,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
19,Female,Louisiana/LA,White alone,Regular high school diploma,PRS-Residential Advisors
16,Female,Tennessee/TN,White alone,"1 or more years of college credit, no degree",OFF-Postal Service Mail Carriers
19,Female,New York/NY,White alone,Bachelor's degree,EDU-Elementary And Middle School Teachers
16,Female,Ohio/OH,White alone,Bachelor's degree,MGR-Medical And Health Services Managers
18,Female,Arizona/AZ,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Kentucky/KY,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Pennsylvania/PA,White alone,Bachelor's degree,MGR-Social And Community Service Managers
19,Female,Colorado/CO,White alone,Bachelor's degree,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked"
18,Female,Pennsylvania/PA,Other Asian alone,1,MED-Medical Records Specialists
17,Female,Louisiana/LA,Black or African American alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Massachusetts/MA,White alone,Regular high school diploma,EAT-Fast Food And Counter Workers
16,Female,Tennessee/TN,White alone,Regular high school diploma,TRN-Driver/Sales Workers And Truck Drivers
17,Female,Ohio/OH,White alone,Master's degree,EDU-Secondary School Teachers
16,Female,California/CA,Vietnamese alone,Regular high school diploma,RPR-Precision Instrument And Equipment Repairers
18,Female,California/CA,White alone,Regular high school diploma,"PRS-Hairdressers, Hairstylists, And Cosmetologists"
19,Female,Georgia/GA,White alone,"1 or more years of college credit, no degree",OFF-Postal Service Mail Carriers
19,Female,Georgia/GA,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Georgia/GA,Black or African American alone,Master's degree,FIN-Accountants And Auditors
19,Female,Arkansas/AR,White; Some Other Race,Regular high school diploma,MED-Licensed Practical And Licensed Vocational Nurses
16,Female,Texas/TX,White alone,"1 or more years of college credit, no degree",FIN-Personal Financial Advisors
16,Female,Missouri/MO,White alone,Bachelor's degree,OFF-First-Line Supervisors Of Office And Administrative Support Workers
17,Female,New York/NY,White alone,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
16,Female,Virginia/VA,White alone,Master's degree,"CMS-Counselors, All Other"
21,Female,California/CA,White alone,Bachelor's degree,PRS-Childcare Workers
16,Female,New York/NY,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Illinois/IL,White alone,Bachelor's degree,MGR-General And Operations Managers
17,Female,Virginia/VA,White alone,Bachelor's degree,EDU-Elementary And Middle School Teachers
19,Female,Texas/TX,Black or African American alone,GED or alternative credential,PRT-Detectives And Criminal Investigators
19,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Wisconsin/WI,White alone,"1 or more years of college credit, no degree",CMS-Other Community and Social Service Specialists
17,Female,Georgia/GA,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,New Hampshire/NH,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,White; Black or African American; Asian groups,"Some college, but less than 1 year",PRD-Packaging And Filling Machine Operators And Tenders
17,Female,Michigan/MI,White alone,Grade 9,FFF-Other Agricultural Workers
16,Female,Tennessee/TN,White alone,"Some college, but less than 1 year",ENT-Musicians and Singers
20,Female,Texas/TX,White; Some Other Race,"1 or more years of college credit, no degree",CON-Construction Equipment Operators
20,Female,North Carolina/NC,White; American Indian and Alaska Native,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,New York/NY,Asian Indian alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,California/CA,Some Other Race alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,New York/NY,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Tennessee/TN,White alone,"1 or more years of college credit, no degree","BUS-Business Operations Specialists, All Other"
16,Female,California/CA,Chinese alone,Bachelor's degree,EAT-Dining Room And Cafeteria Attendants And Bartender Helpers
18,Female,Nebraska/NE,White alone,Master's degree,EDU-Preschool And Kindergarten Teachers
19,Female,Florida/FL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Washington/WA,White alone,"1 or more years of college credit, no degree","OFF-Switchboard Operators, Including Answering Service"
16,Female,Pennsylvania/PA,White alone,Regular high school diploma,CON-Carpenters
20,Female,Texas/TX,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Connecticut/CT,White alone,Doctorate degree,EDU-Postsecondary Teachers
19,Female,North Carolina/NC,Black or African American alone,Regular high school diploma,EAT-Cooks
16,Female,Minnesota/MN,Black or African American alone,"Some college, but less than 1 year",CON-Construction Laborers
21,Female,Arkansas/AR,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Michigan/MI,White alone,GED or alternative credential,EAT-Food Preparation Workers
16,Female,Georgia/GA,White alone,Regular high school diploma,MGR-Public Relations And Fundraising Managers
16,Female,Tennessee/TN,White alone,Bachelor's degree,CON-Electricians
17,Female,Virginia/VA,Filipino alone,"1 or more years of college credit, no degree",MGR-Medical And Health Services Managers
21,Female,New York/NY,White; Some Other Race,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,New Mexico/NM,White; Some Other Race,12th grade - no diploma,CON-Carpenters
20,Female,Arkansas/AR,White alone,Bachelor's degree,EDU-Postsecondary Teachers
16,Female,Oregon/OR,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Illinois/IL,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Oklahoma/OK,White; Some Other Race,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,West Virginia/WV,White alone,Master's degree,MGR-Computer And Information Systems Managers
18,Female,Texas/TX,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Arizona/AZ,White alone,Grade 10,CON-Carpenters
16,Female,Arkansas/AR,White alone,Bachelor's degree,OFF-Executive Secretaries And Executive Administrative Assistants
19,Female,Texas/TX,Some Other Race alone,GED or alternative credential,RPR-Bus And Truck Mechanics And Diesel Engine Specialists
16,Female,California/CA,White alone,Master's degree,MGR-Education And Childcare Administrators
19,Female,Arizona/AZ,Black or African American alone,12th grade - no diploma,"ENT-Entertainers And Performers, Sports and Related Workers, All Other"
19,Female,Ohio/OH,White alone,GED or alternative credential,EAT-Cooks
17,Female,North Dakota/ND,White alone,Regular high school diploma,"MGR-Farmers, Ranchers, And Other Agricultural Managers"
18,Female,Ohio/OH,Vietnamese alone,Bachelor's degree,PRT-Private Detectives And Investigators
18,Female,Oregon/OR,White alone,"Some college, but less than 1 year",HLS-Personal Care Aides
19,Female,Texas/TX,White alone,"1 or more years of college credit, no degree",CLN-Maids And Housekeeping Cleaners
16,Female,California/CA,Chinese alone,Regular high school diploma,"OFF-Bookkeeping, Accounting, And Auditing Clerks"
16,Female,North Carolina/NC,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Texas/TX,White alone,Bachelor's degree,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
16,Female,Maryland/MD,Asian Indian alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Arkansas/AR,White alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,New Hampshire/NH,White; American Indian and Alaska Native,Associate's degree,EDU-Preschool And Kindergarten Teachers
17,Female,New Jersey/NJ,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Kansas/KS,American Indian and Alaska Native alone,Bachelor's degree,CMS-Social And Human Service Assistants
16,Female,North Carolina/NC,White alone,Bachelor's degree,"PRS-Hairdressers, Hairstylists, And Cosmetologists"
16,Female,Illinois/IL,White alone,Associate's degree,MED-Registered Nurses
19,Female,Indiana/IN,White alone,Regular high school diploma,MGR-Facilities Managers
18,Female,Texas/TX,White alone,Regular high school diploma,PRT-Fire Inspectors
17,Female,Florida/FL,Some Other Race alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Ohio/OH,White alone,Regular high school diploma,TRN-Industrial Truck And Tractor Operators
19,Female,New York/NY,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Pennsylvania/PA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Illinois/IL,Some Other Race alone,Regular high school diploma,"CMM-Computer Occupations, All Other"
19,Female,Pennsylvania/PA,White alone,Bachelor's degree,CON-Sheet Metal Workers
16,Female,North Carolina/NC,White alone,Regular high school diploma,"OFF-Office Clerks, General"
18,Female,California/CA,White; Some Other Race,Regular high school diploma,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members
16,Female,North Carolina/NC,White alone,Bachelor's degree,MGR-Marketing Managers
16,Female,Texas/TX,White; Some Other Race,Regular high school diploma,EAT-Cooks
17,Female,New Jersey/NJ,White alone,Master's degree,ENG-Civil Engineers
17,Female,Ohio/OH,White alone,Bachelor's degree,BUS-Market Research Analysts And Marketing Specialists
19,Female,Washington/WA,White alone,"Some college, but less than 1 year","PRD-Welding, Soldering, And Brazing Workers"
19,Female,Washington/WA,White alone,Associate's degree,"CMS-Child, Family, And School Social Workers"
19,Female,Texas/TX,White alone,Bachelor's degree,MGR-Other Managers
16,Female,Minnesota/MN,White alone,"1 or more years of college credit, no degree",MGR-Chief Executives And Legislators
19,Female,Ohio/OH,White alone,Regular high school diploma,CON-Carpenters
