gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Female,Bachelor's degree,ENT-Other Media And Communication Equipment Workers,"MFG-Cut And Sew, And Apparel Accessories And Other Apparel",White alone,"Civilian employed, at work",Tennessee/TN,24,23000,40,9.7,3.47,3.07,5.26,5.17
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Management, Scientific, And Technical Consulting Services",Black or African American alone,"Civilian employed, at work",Colorado/CO,22,4000,45,8.32,8.0,9.22,4.63,1.3
Female,Bachelor's degree,EDU-Preschool And Kindergarten Teachers,ENT-Traveler Accommodation,White alone,Not in Labor Force,California/CA,19,2000,20,2.12,0.75,7.07,5.47,7.51
Female,N/A (less than 3 years old),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,White alone,"Civilian employed, at work",Michigan/MI,23,75000,35,1.82,5.18,5.28,0.53,6.65
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",South Carolina/SC,19,5600,12,1.83,8.81,3.18,2.31,8.18
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Building Material And Supplies Dealers, Except Hardware Retailers",White alone,"Civilian employed, at work",Tennessee/TN,18,3600,10,3.04,8.44,5.46,7.87,4.45
Female,Bachelor's degree,ENT-Editors,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",Black or African American alone,"Civilian employed, at work",Ohio/OH,19,13000,38,5.25,3.71,8.46,1.97,7.28
Female,Bachelor's degree,PRS-Childcare Workers,PRF-Scientific Research And Development Services,White alone,"Civilian employed, at work",Kentucky/KY,20,12000,16,4.32,2.29,7.61,1.22,2.61
Female,Bachelor's degree,MED-Physical Therapists,SRV-Other Personal Services,Asian Indian alone,Not in Labor Force,Kentucky/KY,22,0,0,2.91,8.68,2.02,8.33,3.28
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Filipino; Native Hawaiian,"Civilian employed, at work",Oregon/OR,21,30000,24,6.12,2.67,0.4,0.45,6.42
Female,Bachelor's degree,"CMS-Counselors, All Other",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Florida/FL,23,0,0,1.39,8.22,4.02,6.28,8.16
Female,Regular high school diploma,PRD-Helpers--Production Workers,SRV-Other Personal Services,White alone,"Civilian employed, at work",Texas/TX,22,5000,16,2.92,2.67,5.38,6.02,5.47
Female,Regular high school diploma,MED-Licensed Practical And Licensed Vocational Nurses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Kansas/KS,21,0,0,3.66,9.85,0.53,4.32,3.14
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",White; American Indian and Alaska Native,Unemployed,Michigan/MI,18,0,0,4.56,3.6,4.7,2.54,8.81
Female,Grade 8,OFF-Medical Secretaries and Administrative Assistants,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Black or African American alone,"Civilian employed, at work",Florida/FL,20,14400,20,7.85,2.55,4.22,8.06,8.3
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SCA-Child Care Services,Black or African American; Other Asian,"Civilian employed, at work",Arizona/AZ,19,4000,20,2.0,5.99,0.59,9.76,2.44
Female,"1 or more years of college credit, no degree",EDU-Teaching Assistants,SRV-Nail Salons And Other Personal Care Services,White; Some Other Race,"Civilian employed, at work",Texas/TX,24,12000,40,5.14,3.6,3.63,7.46,4.25
Female,Master's degree,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Asian Indian alone,Not in Labor Force,New York/NY,18,0,0,5.92,8.1,6.67,7.14,8.42
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Some Other Race alone,Not in Labor Force,Washington/WA,23,0,0,0.46,7.33,2.45,3.64,7.47
Female,1,ENT-Other Media And Communication Equipment Workers,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,"Civilian employed, at work",Mississippi/MS,22,7000,30,6.08,6.32,5.46,6.89,3.29
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Vietnamese alone,Not in Labor Force,South Dakota/SD,22,5000,20,1.71,4.22,4.32,4.72,9.07
Female,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Black or African American alone,Not in Labor Force,Pennsylvania/PA,18,0,0,0.65,8.35,5.67,8.37,2.31
Female,Bachelor's degree,"MGR-Property, Real Estate, And Community Association Managers","MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Oklahoma/OK,22,47000,40,9.49,3.06,8.07,2.22,4.2
Female,Grade 10,EAT-Waiters And Waitresses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Georgia/GA,24,0,0,9.66,2.96,6.61,4.49,5.43
Female,"Some college, but less than 1 year",OFF-Data Entry Keyers,MFG-Footwear,White alone,"Civilian employed, at work",New Jersey/NJ,21,20000,40,8.08,0.91,1.63,3.58,2.13
Female,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,21,10950,25,3.05,5.64,4.75,5.63,8.81
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Other Asian alone,"Civilian employed, at work",Pennsylvania/PA,23,35000,40,0.98,6.97,0.5,1.46,1.65
Female,Grade 7,EAT-Food Preparation Workers,"SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Nevada/NV,22,77000,40,6.84,7.13,4.49,9.32,0.17
Female,Grade 8,PRD-Bakers,RET-Clothing And Clothing Accessories Retailers,White alone,"Civilian employed, at work",Maryland/MD,19,5000,25,4.4,8.61,4.0,0.54,9.64
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Massachusetts/MA,20,14000,20,1.22,5.67,4.26,2.77,9.87
Female,12th grade - no diploma,PRS-Other Entertainment Attendants And Related Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,23,0,0,4.95,0.26,9.42,1.52,0.08
Female,4,EAT-Waiters And Waitresses,MFG-Beverage,White alone,"Civilian employed, at work",Tennessee/TN,21,33000,40,0.34,1.75,9.44,1.62,2.78
Female,"Some college, but less than 1 year",CLN-Landscaping And Groundskeeping Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),American Indian and Alaska Native alone,Not in Labor Force,Illinois/IL,18,0,0,9.09,5.61,7.93,3.57,6.78
Female,"1 or more years of college credit, no degree",TRN-Industrial Truck And Tractor Operators,MFG-Pharmaceutical And Medicine,Black or African American alone,"Civilian employed, at work",Rhode Island/RI,19,57000,40,2.59,3.17,4.46,0.07,9.84
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Michigan/MI,22,1000,15,6.63,8.64,0.27,1.14,3.64
Female,Grade 9,FIN-Accountants And Auditors,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Texas/TX,19,12500,35,3.12,2.29,9.76,7.75,1.66
Female,Master's degree,PRD-Miscellaneous Plant And System Operators,FIN-Nondepository Credit Intermediation And Related Activities,White alone,Not in Labor Force,New York/NY,22,0,0,5.2,2.55,9.47,9.9,1.98
Female,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Veterinary Services,White alone,"Civilian employed, at work",Maryland/MD,22,30000,40,5.47,8.43,8.16,1.51,9.27
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Physicians,White alone,"Civilian employed, at work",Missouri/MO,21,41900,40,1.85,5.81,2.72,4.41,5.98
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Ohio/OH,21,12000,30,9.7,3.13,4.56,6.55,4.79
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Virginia/VA,22,10000,12,7.75,9.22,8.83,4.61,3.14
Female,Grade 8,ENG-Civil Engineers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Texas/TX,18,0,0,9.39,3.32,4.35,8.15,5.85
Female,"1 or more years of college credit, no degree","PRS-Hairdressers, Hairstylists, And Cosmetologists","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,Not in Labor Force,Pennsylvania/PA,18,13000,0,8.95,1.27,2.52,5.74,0.77
Female,"1 or more years of college credit, no degree",MGR-Sales Managers,ADM-National Security And International Affairs,White alone,"Civilian employed, at work",Mississippi/MS,22,65300,40,5.98,7.89,5.68,6.96,8.61
Female,Regular high school diploma,ENT-Artists And Related Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",New Jersey/NJ,23,1400,22,9.22,4.65,6.41,5.1,6.73
Female,Master's degree,FIN-Accountants And Auditors,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Florida/FL,18,1500,12,0.88,4.79,7.07,7.43,9.35
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White; Some Other Race,"Civilian employed, at work",California/CA,24,36000,40,1.96,0.56,0.95,8.78,9.86
Female,1,EDU-Special Education Teachers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",California/CA,23,4800,17,0.45,9.69,6.67,2.54,4.96
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,21,0,0,3.25,2.72,5.65,2.11,0.17
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Office Supplies And Stationery Retailers,White alone,"Civilian employed, at work",New York/NY,19,700,10,3.89,2.97,2.77,1.42,6.58
Female,Grade 10,EDU-Elementary And Middle School Teachers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Iowa/IA,18,4900,30,2.71,2.66,9.63,1.69,1.71
Female,7,EDU-Special Education Teachers,MIL-U.S. Marines,Chinese alone,"Armed Forces, At Work",Pennsylvania/PA,24,24000,40,8.29,7.56,8.11,3.49,9.22
Female,"1 or more years of college credit, no degree",MED-Registered Nurses,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",North Carolina/NC,21,24000,40,3.57,9.32,4.47,7.13,3.62
Female,Bachelor's degree,"MGR-Farmers, Ranchers, And Other Agricultural Managers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Other Asian alone,Not in Labor Force,Texas/TX,20,0,0,2.81,3.89,7.79,8.91,7.63
Female,Regular high school diploma,CMS-Mental Health Counselors,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",North Carolina/NC,23,75000,36,5.43,3.76,8.43,5.05,2.76
Female,Associate's degree,MGR-Financial Managers,RET-Pharmacies And Drug Retailers,White alone,"Civilian employed, at work",California/CA,21,4000,10,1.41,4.23,5.58,0.87,8.93
Female,4,"CMS-Educational, Guidance, And Career Counselors And Advisors","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,18,42600,38,8.02,6.9,4.89,3.89,1.58
Female,4,"RPR-Maintenance And Repair Workers, General","ENT-Food Services And Drinking Places, except Alcoholic Beverages",Chinese alone,Not in Labor Force,Oklahoma/OK,22,0,0,0.75,8.95,2.32,1.24,0.78
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),ADM-Executive Offices And Legislative Bodies,Some Other Race alone,"Civilian employed, at work",Connecticut/CT,23,44000,45,9.87,6.65,4.28,0.11,2.17
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Other Miscellaneous Retailers,White alone,"Civilian employed, at work",New York/NY,23,11000,37,7.72,9.14,0.18,5.08,8.55
Female,"1 or more years of college credit, no degree",ENT-Technical Writers,TRN-Support Activities For Transportation,White alone,"Civilian employed, at work",Virginia/VA,20,1200,40,1.99,5.8,1.33,7.1,0.74
Female,Grade 11,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,Not in Labor Force,South Dakota/SD,19,9000,0,0.06,2.19,7.6,9.58,5.88
Female,12th grade - no diploma,"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",Kansas/KS,19,4200,13,8.15,8.08,1.99,4.32,9.53
Female,"1 or more years of college credit, no degree",OFF-Other Office And Administrative Support Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Asian Indian,"Civilian employed, at work",Hawaii/HI,21,5500,25,7.07,2.03,4.49,4.14,4.14
Female,Bachelor's degree,ENT-Editors,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",Some Other Race alone,"Civilian employed, at work",Minnesota/MN,22,600,6,7.29,5.23,3.77,5.38,8.17
Female,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,California/CA,20,2300,32,7.71,4.3,0.5,9.44,6.1
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Virginia/VA,22,4500,20,0.74,8.98,9.69,6.92,1.15
Female,Regular high school diploma,ENG-Civil Engineers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Colorado/CO,20,28000,35,3.58,4.08,0.95,9.79,0.11
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Florida/FL,18,8000,35,1.16,8.13,3.73,5.67,0.05
Female,1,PRD-Other Assemblers And Fabricators,"ENT-Other Amusement, Gambling, And Recreation Industries",Chinese alone,Not in Labor Force,Florida/FL,19,3500,15,8.63,4.72,7.0,8.97,3.16
Female,7,ENT-Floral Designers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Minnesota/MN,20,12400,13,6.23,3.48,8.48,7.21,1.8
Female,Regular high school diploma,CON-Construction Laborers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Asian Indian alone,"Civilian employed, at work",Colorado/CO,21,5000,20,3.31,5.97,2.53,5.64,6.65
Female,Grade 11,CMM-Software Developers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Filipino alone,Not in Labor Force,Pennsylvania/PA,24,2000,15,0.64,3.61,4.28,8.21,5.05
Female,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Chinese alone,Not in Labor Force,Washington/WA,20,0,0,3.11,3.17,7.84,7.74,1.06
Female,1,"SCI-Other Life, Physical, And Social Science Technicians",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,Not in Labor Force,Colorado/CO,19,6000,18,3.25,9.7,7.0,3.19,8.98
Female,Grade 11,SCI-Biological Technicians,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,Not in Labor Force,Minnesota/MN,20,0,0,7.3,9.71,5.97,0.87,6.53
Female,9,MGR-Other Managers,INF-Newspaper Publishers,Chinese alone,"Civilian employed, at work",California/CA,22,53000,40,6.38,7.26,3.48,8.83,3.23
Female,N/A (less than 3 years old),RPR-Automotive Service Technicians And Mechanics,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",White alone,"Civilian employed, at work",California/CA,22,35000,40,8.87,9.27,3.7,6.03,1.92
Female,1,MGR-Construction Managers,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",White alone,Not in Labor Force,New York/NY,23,13000,24,4.72,8.73,3.32,1.32,8.54
Female,Master's degree,MGR-Chief Executives And Legislators,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,Not in Labor Force,Illinois/IL,18,0,0,1.2,3.51,7.35,1.33,9.1
Female,1,TRN-Stockers And Order Fillers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,18,0,0,7.13,8.27,2.86,3.37,0.82
Female,"1 or more years of college credit, no degree","TRN-Motor Vehicle Operators, All Other","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Texas/TX,18,600,16,7.61,8.33,0.67,0.63,5.55
Female,"Some college, but less than 1 year",MED-Registered Nurses,AGR-Animal Production And Aquaculture,White alone,"Civilian employed, at work",Georgia/GA,20,22000,40,5.61,7.67,3.98,7.12,3.33
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",White alone,Not in Labor Force,Kentucky/KY,19,1000,30,7.71,2.14,3.74,6.26,3.85
Female,Doctorate degree,CMM-Other Mathematical Science Occupations,"RET-Sporting Goods, And Hobby, Toy, And Game Retailers",White alone,Not in Labor Force,Virginia/VA,20,0,0,4.94,6.37,9.83,1.06,1.67
Female,GED or alternative credential,CON-Construction Laborers,TRN-Warehousing And Storage,Other Asian alone,"Civilian employed, at work",California/CA,23,25000,40,5.23,6.32,2.41,1.08,2.64
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,White; American Indian and Alaska Native,"Civilian employed, at work",Florida/FL,18,16000,26,4.28,8.0,0.85,5.0,2.73
Female,1,"MGR-Farmers, Ranchers, And Other Agricultural Managers","RET-Gift, Novelty, And Souvenir Retailers",White alone,Not in Labor Force,Mississippi/MS,22,0,0,0.25,4.11,0.17,6.11,2.43
Female,"1 or more years of college credit, no degree",RPR-Bus And Truck Mechanics And Diesel Engine Specialists,EDU-Elementary And Secondary Schools,Chinese alone,"Civilian employed, at work",South Carolina/SC,20,12000,20,1.08,5.9,4.38,8.21,5.27
Female,GED or alternative credential,EDU-Teaching Assistants,"EDU-Other Schools And Instruction, And Educational Support Services",White alone,"Civilian employed, at work",New Hampshire/NH,18,25000,30,0.31,1.42,8.04,3.55,7.78
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"FIN-Monetary Authorities-Central Bank, And Commerical Banking",White alone,"Civilian employed, at work",Virginia/VA,23,115000,60,6.36,0.87,0.44,6.56,3.22
Female,Bachelor's degree,BUS-Management Analysts,"PRF-Management, Scientific, And Technical Consulting Services",White alone,"Civilian employed, at work",California/CA,22,92000,58,3.14,5.98,3.11,6.58,2.82
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Veterinary Services,White alone,"Civilian employed, at work",New Jersey/NJ,22,21000,40,5.09,3.29,1.28,4.65,7.35
Female,Master's degree,RPR-Security And Fire Alarm Systems Installers,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White; Some Other Race,"Civilian employed, at work",New York/NY,24,20000,30,9.08,1.27,9.17,8.95,1.89
Female,Associate's degree,FFF-Other Agricultural Workers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Florida/FL,19,8600,10,2.49,4.05,7.74,1.8,3.85
Female,Regular high school diploma,EDU-Other Teachers and Instructors,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Ohio/OH,18,0,0,4.1,4.33,2.15,4.49,8.49
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,19,0,0,7.56,7.89,9.32,4.63,1.32
Female,"Some college, but less than 1 year","OFF-Office Clerks, General",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White; Some Other Race,Not in Labor Force,Texas/TX,20,0,0,2.29,8.81,7.2,3.13,6.28
Female,Bachelor's degree,EDU-Elementary And Middle School Teachers,"FIN-Monetary Authorities-Central Bank, And Commerical Banking",Asian Indian alone,"Civilian employed, at work",South Carolina/SC,19,20000,40,0.77,5.11,1.02,2.51,8.44
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",Texas/TX,19,12500,18,2.9,8.25,9.13,6.22,1.8
Female,Regular high school diploma,"CMM-Computer Occupations, All Other",PRF-Business Support Services,White alone,"Civilian employed, at work",Missouri/MO,20,12000,38,1.61,6.1,7.68,5.12,5.58
Female,Grade 8,RPR-Industrial And Refractory Machinery Mechanics,ADM-Administration Of Human Resource Programs,White alone,"Civilian employed, at work",Louisiana/LA,21,45500,40,9.3,3.31,8.66,1.13,6.67
Female,N/A (less than 3 years old),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),EDU-Elementary And Secondary Schools,White alone,"Civilian employed, at work",Missouri/MO,22,15000,40,8.08,7.05,6.82,9.28,5.06
Female,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",Illinois/IL,22,25000,32,6.33,3.18,1.02,4.05,4.14
Female,Associate's degree,"SAL-Sales Representatives, Wholesale And Manufacturing",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Florida/FL,18,0,0,8.71,0.05,4.68,1.25,3.6
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Florida/FL,21,20000,40,8.04,1.05,3.43,3.61,5.23
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Lawn And Garden Equipment And Supplies Retailers,White alone,"Civilian employed, at work",California/CA,22,30000,40,1.87,4.75,1.56,9.16,6.36
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",White alone,"Civilian employed, at work",Georgia/GA,24,32080,40,8.93,9.79,9.57,7.0,1.83
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Other Miscellaneous Retailers,White alone,"Civilian employed, at work",Alabama/AL,22,20600,40,5.39,1.15,1.93,4.13,3.18
Female,Regular high school diploma,RPR-Automotive Service Technicians And Mechanics,MED-Offices Of Physicians,White alone,Not in Labor Force,Michigan/MI,18,7000,40,8.07,2.21,0.22,9.74,6.05
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,24,0,0,8.96,1.85,2.43,3.12,4.41
Female,Regular high school diploma,SAL-Sales Engineers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Ohio/OH,20,0,0,3.18,6.03,8.62,8.25,0.97
Female,Bachelor's degree,EAT-Dining Room And Cafeteria Attendants And Bartender Helpers,SRV-Other Personal Services,White alone,"Civilian employed, at work",Georgia/GA,20,10000,25,1.1,7.38,5.72,6.47,1.54
