gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours,age_group,gender_mapped,matching_key,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Female,Regular high school diploma,CMS-Clergy,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,Minnesota/MN,21,3600,20,18-24,Female,18-24|Female,6.75,6.25,5.25,8.0,5.75
Female,Bachelor's degree,"MGR-Property, Real Estate, And Community Association Managers","MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Oklahoma/OK,22,47000,40,18-24,Female,18-24|Female,8.0,6.0,4.5,9.25,5.75
Female,Grade 10,EAT-Waiters And Waitresses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Georgia/GA,24,0,0,18-24,Female,18-24|Female,8.25,5.0,8.0,9.25,4.25
Female,"Some college, but less than 1 year",OFF-Data Entry Keyers,MFG-Footwear,White alone,"Civilian employed, at work",New Jersey/NJ,21,20000,40,18-24,Female,18-24|Female,7.5,6.75,1.25,8.0,8.75
Female,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,21,10950,25,18-24,Female,18-24|Female,6.75,8.75,5.25,8.25,4.75
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Other Asian alone,"Civilian employed, at work",Pennsylvania/PA,23,35000,40,18-24,Female,18-24|Female,8.25,5.5,7.25,9.75,1.5000000000000002
Female,Grade 7,EAT-Food Preparation Workers,"SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Nevada/NV,22,77000,40,18-24,Female,18-24|Female,6.5,9.25,7.0,7.5,5.75
Female,Grade 8,PRD-Bakers,RET-Clothing And Clothing Accessories Retailers,White alone,"Civilian employed, at work",Maryland/MD,19,5000,25,18-24,Female,18-24|Female,6.5,7.749999999999999,6.75,9.5,5.75
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Massachusetts/MA,20,14000,20,18-24,Female,18-24|Female,7.25,5.5,2.25,7.25,4.75
Female,12th grade - no diploma,PRS-Other Entertainment Attendants And Related Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,23,0,0,18-24,Female,18-24|Female,8.0,8.0,5.5,7.25,4.25
Female,4,EAT-Waiters And Waitresses,MFG-Beverage,White alone,"Civilian employed, at work",Tennessee/TN,21,33000,40,18-24,Female,18-24|Female,8.0,9.75,8.75,10.0,0.2500000000000002
Female,"Some college, but less than 1 year",CLN-Landscaping And Groundskeeping Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),American Indian and Alaska Native alone,Not in Labor Force,Illinois/IL,18,0,0,18-24,Female,18-24|Female,8.25,7.25,2.0,6.75,5.75
Female,"1 or more years of college credit, no degree",TRN-Industrial Truck And Tractor Operators,MFG-Pharmaceutical And Medicine,Black or African American alone,"Civilian employed, at work",Rhode Island/RI,19,57000,40,18-24,Female,18-24|Female,6.0,8.0,6.5,7.0,6.75
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Michigan/MI,22,1000,15,18-24,Female,18-24|Female,3.5,3.0000000000000004,0.4999999999999999,5.5,8.25
Female,Grade 9,FIN-Accountants And Auditors,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Texas/TX,19,12500,35,18-24,Female,18-24|Female,5.5,7.25,3.5,7.5,8.75
Female,Master's degree,PRD-Miscellaneous Plant And System Operators,FIN-Nondepository Credit Intermediation And Related Activities,White alone,Not in Labor Force,New York/NY,22,0,0,18-24,Female,18-24|Female,8.5,3.5,8.5,10.0,2.25
Female,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Veterinary Services,White alone,"Civilian employed, at work",Maryland/MD,22,30000,40,18-24,Female,18-24|Female,7.749999999999999,4.25,6.0,6.75,2.5
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Physicians,White alone,"Civilian employed, at work",Missouri/MO,21,41900,40,18-24,Female,18-24|Female,9.75,9.5,6.5,10.0,0.9999999999999998
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Ohio/OH,21,12000,30,18-24,Female,18-24|Female,7.0,3.5,6.75,7.5,7.25
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Virginia/VA,22,10000,12,18-24,Female,18-24|Female,9.0,8.0,6.75,8.75,2.75
Female,Grade 8,ENG-Civil Engineers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Texas/TX,18,0,0,18-24,Female,18-24|Female,8.25,1.75,4.0,7.749999999999999,8.0
Female,"1 or more years of college credit, no degree","PRS-Hairdressers, Hairstylists, And Cosmetologists","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,Not in Labor Force,Pennsylvania/PA,18,13000,0,18-24,Female,18-24|Female,5.5,4.5,3.5,6.75,6.75
Female,"1 or more years of college credit, no degree",MGR-Sales Managers,ADM-National Security And International Affairs,White alone,"Civilian employed, at work",Mississippi/MS,22,65300,40,18-24,Female,18-24|Female,8.0,3.2499999999999996,3.75,5.25,8.25
Female,Regular high school diploma,ENT-Artists And Related Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",New Jersey/NJ,23,1400,22,18-24,Female,18-24|Female,7.0,5.25,3.0000000000000004,6.75,9.75
Female,Master's degree,FIN-Accountants And Auditors,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Florida/FL,18,1500,12,18-24,Female,18-24|Female,6.75,6.25,7.25,8.5,4.75
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White; Some Other Race,"Civilian employed, at work",California/CA,24,36000,40,18-24,Female,18-24|Female,6.25,2.75,7.0,6.0,7.25
Female,1,EDU-Special Education Teachers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",California/CA,23,4800,17,18-24,Female,18-24|Female,6.75,5.75,4.75,6.5,6.0
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,21,0,0,18-24,Female,18-24|Female,5.0,7.25,5.75,8.0,3.2499999999999996
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Office Supplies And Stationery Retailers,White alone,"Civilian employed, at work",New York/NY,19,700,10,18-24,Female,18-24|Female,9.0,3.5,7.0,9.0,6.25
Female,Grade 10,EDU-Elementary And Middle School Teachers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Iowa/IA,18,4900,30,18-24,Female,18-24|Female,7.25,6.25,3.5,7.749999999999999,6.75
Female,7,EDU-Special Education Teachers,MIL-U.S. Marines,Chinese alone,"Armed Forces, At Work",Pennsylvania/PA,24,24000,40,18-24,Female,18-24|Female,7.5,4.5,0.2500000000000002,8.0,4.75
Female,"1 or more years of college credit, no degree",MED-Registered Nurses,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",North Carolina/NC,21,24000,40,18-24,Female,18-24|Female,8.0,2.5,7.5,5.5,6.5
Female,Bachelor's degree,"MGR-Farmers, Ranchers, And Other Agricultural Managers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Other Asian alone,Not in Labor Force,Texas/TX,20,0,0,18-24,Female,18-24|Female,7.25,6.0,8.25,8.5,3.5
Female,Regular high school diploma,CMS-Mental Health Counselors,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",North Carolina/NC,23,75000,36,18-24,Female,18-24|Female,8.5,8.5,6.25,8.5,2.75
Female,Associate's degree,MGR-Financial Managers,RET-Pharmacies And Drug Retailers,White alone,"Civilian employed, at work",California/CA,21,4000,10,18-24,Female,18-24|Female,4.0,5.0,3.75,5.75,4.0
Female,4,"CMS-Educational, Guidance, And Career Counselors And Advisors","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,18,42600,38,18-24,Female,18-24|Female,7.0,6.5,6.25,7.25,5.5
Female,4,"RPR-Maintenance And Repair Workers, General","ENT-Food Services And Drinking Places, except Alcoholic Beverages",Chinese alone,Not in Labor Force,Oklahoma/OK,22,0,0,18-24,Female,18-24|Female,4.75,8.25,1.5000000000000002,7.749999999999999,5.5
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),ADM-Executive Offices And Legislative Bodies,Some Other Race alone,"Civilian employed, at work",Connecticut/CT,23,44000,45,18-24,Female,18-24|Female,10.0,6.75,4.25,7.749999999999999,4.5
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Other Miscellaneous Retailers,White alone,"Civilian employed, at work",New York/NY,23,11000,37,18-24,Female,18-24|Female,5.5,6.0,3.2499999999999996,8.0,3.75
Female,"1 or more years of college credit, no degree",ENT-Technical Writers,TRN-Support Activities For Transportation,White alone,"Civilian employed, at work",Virginia/VA,20,1200,40,18-24,Female,18-24|Female,7.5,10.0,8.75,6.0,1.5000000000000002
Female,Grade 11,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,Not in Labor Force,South Dakota/SD,19,9000,0,18-24,Female,18-24|Female,8.75,6.25,5.25,3.0000000000000004,3.75
Female,12th grade - no diploma,"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",Kansas/KS,19,4200,13,18-24,Female,18-24|Female,6.25,5.5,2.0,6.25,4.5
Female,"1 or more years of college credit, no degree",OFF-Other Office And Administrative Support Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Asian Indian,"Civilian employed, at work",Hawaii/HI,21,5500,25,18-24,Female,18-24|Female,7.749999999999999,8.0,5.0,9.25,5.0
Female,Bachelor's degree,ENT-Editors,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",Some Other Race alone,"Civilian employed, at work",Minnesota/MN,22,600,6,18-24,Female,18-24|Female,8.25,2.25,5.75,5.25,4.75
Female,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,California/CA,20,2300,32,18-24,Female,18-24|Female,7.25,5.75,6.5,8.75,4.5
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Virginia/VA,22,4500,20,18-24,Female,18-24|Female,4.75,3.75,7.0,7.5,3.5
Female,Regular high school diploma,ENG-Civil Engineers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Colorado/CO,20,28000,35,18-24,Female,18-24|Female,7.749999999999999,5.5,8.5,8.5,7.25
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Florida/FL,18,8000,35,18-24,Female,18-24|Female,5.5,3.2499999999999996,3.5,8.75,6.5
Female,1,PRD-Other Assemblers And Fabricators,"ENT-Other Amusement, Gambling, And Recreation Industries",Chinese alone,Not in Labor Force,Florida/FL,19,3500,15,18-24,Female,18-24|Female,9.75,6.75,7.0,9.75,8.25
Female,7,ENT-Floral Designers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Minnesota/MN,20,12400,13,18-24,Female,18-24|Female,6.0,3.5,9.5,5.75,7.25
Female,Regular high school diploma,CON-Construction Laborers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Asian Indian alone,"Civilian employed, at work",Colorado/CO,21,5000,20,18-24,Female,18-24|Female,7.25,7.25,6.75,6.75,3.5
Female,Grade 11,CMM-Software Developers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Filipino alone,Not in Labor Force,Pennsylvania/PA,24,2000,15,18-24,Female,18-24|Female,8.25,2.75,5.5,4.25,8.5
Female,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Chinese alone,Not in Labor Force,Washington/WA,20,0,0,18-24,Female,18-24|Female,8.5,7.25,7.0,9.0,4.25
Female,1,"SCI-Other Life, Physical, And Social Science Technicians",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,Not in Labor Force,Colorado/CO,19,6000,18,18-24,Female,18-24|Female,9.75,5.0,9.5,9.0,4.25
Female,Grade 11,SCI-Biological Technicians,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,Not in Labor Force,Minnesota/MN,20,0,0,18-24,Female,18-24|Female,7.5,8.0,8.5,8.75,2.0
Female,9,MGR-Other Managers,INF-Newspaper Publishers,Chinese alone,"Civilian employed, at work",California/CA,22,53000,40,18-24,Female,18-24|Female,10.0,0.7500000000000001,5.5,3.2499999999999996,5.0
Female,N/A (less than 3 years old),RPR-Automotive Service Technicians And Mechanics,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",White alone,"Civilian employed, at work",California/CA,22,35000,40,18-24,Female,18-24|Female,6.75,5.0,6.5,8.5,6.5
Female,1,MGR-Construction Managers,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",White alone,Not in Labor Force,New York/NY,23,13000,24,18-24,Female,18-24|Female,9.0,9.0,7.25,8.25,6.25
Female,Master's degree,MGR-Chief Executives And Legislators,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,Not in Labor Force,Illinois/IL,18,0,0,18-24,Female,18-24|Female,4.0,4.0,4.0,7.5,9.5
Female,1,TRN-Stockers And Order Fillers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,18,0,0,18-24,Female,18-24|Female,6.75,7.0,2.75,9.0,4.5
Female,"1 or more years of college credit, no degree","TRN-Motor Vehicle Operators, All Other","ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Texas/TX,18,600,16,18-24,Female,18-24|Female,4.5,5.25,5.75,6.25,5.0
Female,"Some college, but less than 1 year",MED-Registered Nurses,AGR-Animal Production And Aquaculture,White alone,"Civilian employed, at work",Georgia/GA,20,22000,40,18-24,Female,18-24|Female,6.5,6.25,6.0,7.749999999999999,4.5
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",White alone,Not in Labor Force,Kentucky/KY,19,1000,30,18-24,Female,18-24|Female,5.5,7.25,8.75,7.25,6.25
Female,Doctorate degree,CMM-Other Mathematical Science Occupations,"RET-Sporting Goods, And Hobby, Toy, And Game Retailers",White alone,Not in Labor Force,Virginia/VA,20,0,0,18-24,Female,18-24|Female,6.75,2.25,7.5,9.0,6.5
Female,GED or alternative credential,CON-Construction Laborers,TRN-Warehousing And Storage,Other Asian alone,"Civilian employed, at work",California/CA,23,25000,40,18-24,Female,18-24|Female,5.75,2.25,3.75,8.5,9.5
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,White; American Indian and Alaska Native,"Civilian employed, at work",Florida/FL,18,16000,26,18-24,Female,18-24|Female,5.75,7.749999999999999,6.0,7.5,6.5
Female,1,"MGR-Farmers, Ranchers, And Other Agricultural Managers","RET-Gift, Novelty, And Souvenir Retailers",White alone,Not in Labor Force,Mississippi/MS,22,0,0,18-24,Female,18-24|Female,7.5,2.75,0.4999999999999999,5.0,9.75
Female,"1 or more years of college credit, no degree",RPR-Bus And Truck Mechanics And Diesel Engine Specialists,EDU-Elementary And Secondary Schools,Chinese alone,"Civilian employed, at work",South Carolina/SC,20,12000,20,18-24,Female,18-24|Female,5.0,3.75,6.75,5.5,6.5
Female,GED or alternative credential,EDU-Teaching Assistants,"EDU-Other Schools And Instruction, And Educational Support Services",White alone,"Civilian employed, at work",New Hampshire/NH,18,25000,30,18-24,Female,18-24|Female,7.5,6.5,3.2499999999999996,7.5,8.5
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"FIN-Monetary Authorities-Central Bank, And Commerical Banking",White alone,"Civilian employed, at work",Virginia/VA,23,115000,60,18-24,Female,18-24|Female,8.0,4.0,8.75,6.5,6.25
Female,Bachelor's degree,BUS-Management Analysts,"PRF-Management, Scientific, And Technical Consulting Services",White alone,"Civilian employed, at work",California/CA,22,92000,58,18-24,Female,18-24|Female,4.5,8.25,4.0,6.5,5.5
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Veterinary Services,White alone,"Civilian employed, at work",New Jersey/NJ,22,21000,40,18-24,Female,18-24|Female,7.5,8.75,6.0,7.25,2.75
Female,Master's degree,RPR-Security And Fire Alarm Systems Installers,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White; Some Other Race,"Civilian employed, at work",New York/NY,24,20000,30,18-24,Female,18-24|Female,9.25,3.2499999999999996,8.75,9.0,2.25
Female,Associate's degree,FFF-Other Agricultural Workers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Florida/FL,19,8600,10,18-24,Female,18-24|Female,6.5,6.5,6.75,8.25,4.0
Female,Regular high school diploma,EDU-Other Teachers and Instructors,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Ohio/OH,18,0,0,18-24,Female,18-24|Female,5.0,3.2499999999999996,6.0,6.5,7.25
